team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
MOUZ NXT,Nuclear TigeRES,0,2,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390086/mouz-nxt-vs-nuclear-tigeres-iem-atlanta-2026-open-qualifier,Nuclear TigeRES,69,43
NRG,Passion UA,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389917/nrg-vs-passion-ua-ace-na-masters-2026-season-1-blast-premier-rising-event,NRG,19,17
9z,Sharks,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389924/9z-vs-sharks-ace-sa-masters-2026-season-1-blast-premier-rising-event,9z,42,39
Ninjas in Pyjamas,GamerLegion,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389946/ninjas-in-pyjamas-vs-gamerlegion-res-showdown-3-blast-premier-rising-event,Ninjas in Pyjamas,21,20
Lynn Vision,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389939/lynn-vision-vs-tyloo-yuqilin-pinnacle-of-battle-season-2-blast-premier-rising-event,TYLOO,36,30
Spirit,MOUZ,2,0,IEM Kraków 2026,Results for February 8th 2026,https://www.hltv.org/matches/2389665/spirit-vs-mouz-iem-krakw-2026,Spirit,5,4
M80,Passion UA,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389916/m80-vs-passion-ua-ace-na-masters-2026-season-1-blast-premier-rising-event,Passion UA,24,17
RED Canids,Sharks,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389923/red-canids-vs-sharks-ace-sa-masters-2026-season-1-blast-premier-rising-event,Sharks,38,39
NRG,Voca,2,1,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389915/nrg-vs-voca-ace-na-masters-2026-season-1-blast-premier-rising-event,NRG,19,49
Vitality,MOUZ,2,0,IEM Kraków 2026,Results for February 7th 2026,https://www.hltv.org/matches/2389664/vitality-vs-mouz-iem-krakw-2026,Vitality,1,4
Imperial,9z,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389922/imperial-vs-9z-ace-sa-masters-2026-season-1-blast-premier-rising-event,9z,23,42
Spirit,FURIA,1,2,IEM Kraków 2026,Results for February 7th 2026,https://www.hltv.org/matches/2389663/spirit-vs-furia-iem-krakw-2026,FURIA,5,2
GamerLegion,BC.Game,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389945/gamerlegion-vs-bcgame-res-showdown-3-blast-premier-rising-event,GamerLegion,20,26
Rare Atom,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389938/rare-atom-vs-tyloo-yuqilin-pinnacle-of-battle-season-2-blast-premier-rising-event,TYLOO,72,30
Morningstar,Lynn Vision,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389937/morningstar-vs-lynn-vision-yuqilin-pinnacle-of-battle-season-2-blast-premier-rising-event,Lynn Vision,82,36
M80,Wildcard,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389913/m80-vs-wildcard-ace-na-masters-2026-season-1-blast-premier-rising-event,M80,24,75
Passion UA,BOSS,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389914/passion-ua-vs-boss-ace-na-masters-2026-season-1-blast-premier-rising-event,Passion UA,17,94
Fake do Biru,9z,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,https://www.hltv.org/matches/2389780/fake-do-biru-vs-9z-cct-season-3-south-america-series-8,9z,100,42
Marsborne,Voca,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389912/marsborne-vs-voca-ace-na-masters-2026-season-1-blast-premier-rising-event,Voca,53,49
BC.Game,Alliance,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389943/bcgame-vs-alliance-res-showdown-3-blast-premier-rising-event,BC.Game,26,76
RED Canids,Bounty Hunters,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389920/red-canids-vs-bounty-hunters-ace-sa-masters-2026-season-1-blast-premier-rising-event,RED Canids,38,88
BetBoom,magic,1,2,CCT Season 3 Europe Series 14,Results for February 6th 2026,https://www.hltv.org/matches/2389572/betboom-vs-magic-cct-season-3-europe-series-14,magic,32,48
G2,MOUZ,0,2,IEM Kraków 2026,Results for February 6th 2026,https://www.hltv.org/matches/2389662/g2-vs-mouz-iem-krakw-2026,MOUZ,9,4
Ninjas in Pyjamas,Gentle Mates,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389942/ninjas-in-pyjamas-vs-gentle-mates-res-showdown-3-blast-premier-rising-event,Ninjas in Pyjamas,21,27
Gaimin Gladiators,9z,0,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389919/gaimin-gladiators-vs-9z-ace-sa-masters-2026-season-1-blast-premier-rising-event,9z,64,42
magic,FAVBET,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,https://www.hltv.org/matches/2389571/magic-vs-favbet-cct-season-3-europe-series-14,magic,48,68
FURIA,Aurora,2,0,IEM Kraków 2026,Results for February 6th 2026,https://www.hltv.org/matches/2389661/furia-vs-aurora-iem-krakw-2026,FURIA,2,11
GamerLegion,ex-RUBY,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389941/gamerlegion-vs-ex-ruby-res-showdown-3-blast-premier-rising-event,GamerLegion,20,57
NEXVOID,The Huns,2,1,MESA Pro Series Opening 2026,Results for February 6th 2026,https://www.hltv.org/matches/2389910/nexvoid-vs-the-huns-mesa-pro-series-opening-2026,NEXVOID,74,67
BetBoom,ex-RUBY,2,1,CCT Season 3 Europe Series 14,Results for February 6th 2026,https://www.hltv.org/matches/2389570/betboom-vs-ex-ruby-cct-season-3-europe-series-14,BetBoom,32,57
The Huns,Morningstar,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 6th 2026,https://www.hltv.org/matches/2389933/the-huns-vs-morningstar-yuqilin-pinnacle-of-battle-season-2-blast-premier-rising-event,Morningstar,67,82
FAVBET,ECSTATIC,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,https://www.hltv.org/matches/2389569/favbet-vs-ecstatic-cct-season-3-europe-series-14,FAVBET,68,50
los kogutos,WHITEBIRD,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 5th 2026,https://www.hltv.org/matches/2389828/los-kogutos-vs-whitebird-cct-season-3-europe-series-15-closed-qualifier,WHITEBIRD,89,86
ECSTATIC,illwill,1,2,NODWIN Clutch Series 4,Results for February 5th 2026,https://www.hltv.org/matches/2389238/ecstatic-vs-illwill-nodwin-clutch-series-4,illwill,50,46
EYEBALLERS,magic,0,2,CCT Season 3 Europe Series 14,Results for February 5th 2026,https://www.hltv.org/matches/2389568/eyeballers-vs-magic-cct-season-3-europe-series-14,magic,34,48
ex-RUBY,9INE,2,1,CCT Season 3 Europe Series 14,Results for February 5th 2026,https://www.hltv.org/matches/2389567/ex-ruby-vs-9ine-cct-season-3-europe-series-14,ex-RUBY,57,41
Nuclear TigeRES,illwill,0,2,NODWIN Clutch Series 4,Results for February 5th 2026,https://www.hltv.org/matches/2389237/nuclear-tigeres-vs-illwill-nodwin-clutch-series-4,illwill,43,46
