team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
BetBoom,Oramond,2,0,Galaxy Battle 2025 Phase 5,Results for December 7th 2025,https://www.hltv.org/matches/2387481/betboom-vs-oramond-galaxy-battle-2025-phase-5,BetBoom,32,51
G2,The MongolZ,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388119/g2-vs-the-mongolz-starladder-budapest-major-2025,The MongolZ,9,10
3DMAX,FaZe,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388120/3dmax-vs-faze-starladder-budapest-major-2025,FaZe,13,7
MOUZ,Falcons,2,1,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388117/mouz-vs-falcons-starladder-budapest-major-2025,MOUZ,4,3
Passion UA,Imperial,2,0,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388118/passion-ua-vs-imperial-starladder-budapest-major-2025,Passion UA,17,23
Sashi,Sangal,0,2,CCT Season 3 Europe Series 12,Results for December 6th 2025,https://www.hltv.org/matches/2388426/sashi-vs-sangal-cct-season-3-europe-series-12,Sangal,78,97
B8,paiN,2,0,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388116/b8-vs-pain-starladder-budapest-major-2025,B8,16,18
Natus Vincere,Vitality,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,https://www.hltv.org/matches/2388115/natus-vincere-vs-vitality-starladder-budapest-major-2025,Vitality,8,1
9INE,CYBERSHOKE,1,2,Galaxy Battle 2025 Phase 5,Results for December 6th 2025,https://www.hltv.org/matches/2387477/9ine-vs-cybershoke-galaxy-battle-2025-phase-5,CYBERSHOKE,41,58
FURIA,G2,2,0,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388113/furia-vs-g2-starladder-budapest-major-2025,FURIA,2,9
PARIVISION,3DMAX,1,2,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388114/parivision-vs-3dmax-starladder-budapest-major-2025,3DMAX,6,13
MOUZ,Spirit,1,2,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388111/mouz-vs-spirit-starladder-budapest-major-2025,Spirit,4,5
Alliance,Sangal,2,0,CCT Season 3 Europe Series 12,Results for December 5th 2025,https://www.hltv.org/matches/2388422/alliance-vs-sangal-cct-season-3-europe-series-12,Alliance,76,97
Passion UA,Liquid,2,0,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388112/passion-ua-vs-liquid-starladder-budapest-major-2025,Passion UA,17,15
paiN,Natus Vincere,8,13,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388109/pain-vs-natus-vincere-starladder-budapest-major-2025,Natus Vincere,18,8
Imperial,Falcons,1,13,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388110/imperial-vs-falcons-starladder-budapest-major-2025,Falcons,23,3
FaZe,The MongolZ,7,13,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388107/faze-vs-the-mongolz-starladder-budapest-major-2025,The MongolZ,7,10
B8,Vitality,2,13,StarLadder Budapest Major 2025,Results for December 5th 2025,https://www.hltv.org/matches/2388108/b8-vs-vitality-starladder-budapest-major-2025,Vitality,16,1
Sangal,Oramond,2,0,European Pro League Series 3,Results for December 5th 2025,https://www.hltv.org/matches/2388308/sangal-vs-oramond-european-pro-league-series-3,Sangal,97,51
Inner Circle,FORZE Reload,2,0,Galaxy Battle 2025 Phase 5,Results for December 5th 2025,https://www.hltv.org/matches/2387473/inner-circle-vs-forze-reload-galaxy-battle-2025-phase-5,Inner Circle,44,90
EYEBALLERS,Nuclear TigeRES,2,1,European Pro League Series 3,Results for December 5th 2025,https://www.hltv.org/matches/2388307/eyeballers-vs-nuclear-tigeres-european-pro-league-series-3,EYEBALLERS,34,43
FURIA,Imperial,13,5,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388105/furia-vs-imperial-starladder-budapest-major-2025,FURIA,2,23
PARIVISION,Natus Vincere,6,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388106/parivision-vs-natus-vincere-starladder-budapest-major-2025,Natus Vincere,6,8
Liquid,The MongolZ,9,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388104/liquid-vs-the-mongolz-starladder-budapest-major-2025,The MongolZ,15,10
MOUZ,B8,13,6,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388103/mouz-vs-b8-starladder-budapest-major-2025,MOUZ,4,16
FaZe,Spirit,5,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388102/faze-vs-spirit-starladder-budapest-major-2025,Spirit,7,5
Passion UA,Falcons,5,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388101/passion-ua-vs-falcons-starladder-budapest-major-2025,Falcons,17,3
3DMAX,Vitality,4,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388100/3dmax-vs-vitality-starladder-budapest-major-2025,Vitality,13,1
paiN,G2,7,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388099/pain-vs-g2-starladder-budapest-major-2025,G2,18,9
Johnny Speeds,FORZE Reload,2,1,CCT Season 3 Europe Series 12,Results for December 4th 2025,https://www.hltv.org/matches/2388418/johnny-speeds-vs-forze-reload-cct-season-3-europe-series-12,Johnny Speeds,73,90
B8,Falcons,13,10,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388098/b8-vs-falcons-starladder-budapest-major-2025,B8,16,3
FURIA,Natus Vincere,13,2,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388097/furia-vs-natus-vincere-starladder-budapest-major-2025,FURIA,2,8
Vitality,FaZe,7,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388095/vitality-vs-faze-starladder-budapest-major-2025,FaZe,1,7
paiN,3DMAX,13,10,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388096/pain-vs-3dmax-starladder-budapest-major-2025,paiN,18,13
Spirit,Liquid,13,8,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388093/spirit-vs-liquid-starladder-budapest-major-2025,Spirit,5,15
Passion UA,G2,8,13,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388094/passion-ua-vs-g2-starladder-budapest-major-2025,G2,17,9
Imperial,The MongolZ,16,14,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388092/imperial-vs-the-mongolz-starladder-budapest-major-2025,Imperial,23,10
MOUZ,PARIVISION,16,14,StarLadder Budapest Major 2025,Results for December 4th 2025,https://www.hltv.org/matches/2388091/mouz-vs-parivision-starladder-budapest-major-2025,MOUZ,4,6
Sashi,FORZE Reload,2,0,CCT Season 3 Europe Series 12,Results for December 3rd 2025,https://www.hltv.org/matches/2388415/sashi-vs-forze-reload-cct-season-3-europe-series-12,Sashi,78,90
Oramond,Nuclear TigeRES,2,0,NODWIN Clutch Series 3,Results for December 3rd 2025,https://www.hltv.org/matches/2388471/oramond-vs-nuclear-tigeres-nodwin-clutch-series-3,Oramond,51,43
Ninjas in Pyjamas,3DMAX,0,2,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,https://www.hltv.org/matches/2388090/ninjas-in-pyjamas-vs-3dmax-starladder-budapest-major-2025-stage-2,3DMAX,21,13
Liquid,Astralis,2,0,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,https://www.hltv.org/matches/2388089/liquid-vs-astralis-starladder-budapest-major-2025-stage-2,Liquid,15,12
Passion UA,M80,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,https://www.hltv.org/matches/2388088/passion-ua-vs-m80-starladder-budapest-major-2025-stage-2,Passion UA,17,24
Nemiga,Oramond,0,2,CCT Season 3 Europe Series 12,Results for December 2nd 2025,https://www.hltv.org/matches/2388409/nemiga-vs-oramond-cct-season-3-europe-series-12,Oramond,55,51
B8,3DMAX,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,https://www.hltv.org/matches/2388086/b8-vs-3dmax-starladder-budapest-major-2025-stage-2,B8,16,13
Liquid,TYLOO,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,https://www.hltv.org/matches/2388087/liquid-vs-tyloo-starladder-budapest-major-2025-stage-2,Liquid,15,30
Imperial,M80,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,https://www.hltv.org/matches/2388084/imperial-vs-m80-starladder-budapest-major-2025-stage-2,Imperial,23,24
Aurora,Astralis,1,2,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,https://www.hltv.org/matches/2388085/aurora-vs-astralis-starladder-budapest-major-2025-stage-2,Astralis,11,12
BC.Game,MOUZ NXT,0,1,European Pro League Series 3,Results for December 1st 2025,https://www.hltv.org/matches/2388301/bcgame-vs-mouz-nxt-european-pro-league-series-3,MOUZ NXT,26,69
PARIVISION,Ninjas in Pyjamas,2,0,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,https://www.hltv.org/matches/2388082/parivision-vs-ninjas-in-pyjamas-starladder-budapest-major-2025-stage-2,PARIVISION,6,21
FORZE Reload,ARCRED,2,0,CCT Season 3 Europe Series 12 Closed Qualifier,Results for December 1st 2025,https://www.hltv.org/matches/2388406/forze-reload-vs-arcred-cct-season-3-europe-series-12-closed-qualifier,FORZE Reload,90,60
fnatic,Passion UA,0,2,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,https://www.hltv.org/matches/2388083/fnatic-vs-passion-ua-starladder-budapest-major-2025-stage-2,Passion UA,33,17
Natus Vincere,B8,2,0,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388080/natus-vincere-vs-b8-starladder-budapest-major-2025-stage-2,Natus Vincere,8,16
MIBR,Liquid,0,2,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388079/mibr-vs-liquid-starladder-budapest-major-2025-stage-2,Liquid,28,15
FaZe,Ninjas in Pyjamas,2,0,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388078/faze-vs-ninjas-in-pyjamas-starladder-budapest-major-2025-stage-2,FaZe,7,21
FlyQuest,Astralis,0,2,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388081/flyquest-vs-astralis-starladder-budapest-major-2025-stage-2,Astralis,29,12
FUT,Monte,1,2,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,https://www.hltv.org/matches/2388546/fut-vs-monte-dreamhack-knockout-stockholm-2025,Monte,14,31
PARIVISION,Aurora,13,11,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388077/parivision-vs-aurora-starladder-budapest-major-2025-stage-2,PARIVISION,6,11
fnatic,Imperial,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388076/fnatic-vs-imperial-starladder-budapest-major-2025-stage-2,Imperial,33,23
M80,TYLOO,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388075/m80-vs-tyloo-starladder-budapest-major-2025-stage-2,M80,24,30
Passion UA,3DMAX,3,13,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,https://www.hltv.org/matches/2388074/passion-ua-vs-3dmax-starladder-budapest-major-2025-stage-2,3DMAX,17,13
Monte,OG,2,1,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,https://www.hltv.org/matches/2388545/monte-vs-og-dreamhack-knockout-stockholm-2025,Monte,31,52
FUT,Inner Circle,2,1,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,https://www.hltv.org/matches/2388544/fut-vs-inner-circle-dreamhack-knockout-stockholm-2025,FUT,14,44
1win,FORZE Reload,1,2,Exort Series 19,Results for November 30th 2025,https://www.hltv.org/matches/2388531/1win-vs-forze-reload-exort-series-19,FORZE Reload,77,90
fnatic,B8,11,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388073/fnatic-vs-b8-starladder-budapest-major-2025-stage-2,B8,33,16
PARIVISION,Liquid,13,3,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388072/parivision-vs-liquid-starladder-budapest-major-2025-stage-2,PARIVISION,6,15
Sashi,Inner Circle,1,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,https://www.hltv.org/matches/2388540/sashi-vs-inner-circle-dreamhack-knockout-stockholm-2025,Inner Circle,78,44
Aurora,FaZe,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388070/aurora-vs-faze-starladder-budapest-major-2025-stage-2,FaZe,11,7
Passion UA,MIBR,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388071/passion-ua-vs-mibr-starladder-budapest-major-2025-stage-2,Passion UA,17,28
GenOne,Monte,0,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,https://www.hltv.org/matches/2388543/genone-vs-monte-dreamhack-knockout-stockholm-2025,Monte,56,31
M80,Astralis,13,11,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388069/m80-vs-astralis-starladder-budapest-major-2025-stage-2,M80,24,12
Natus Vincere,Imperial,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388068/natus-vincere-vs-imperial-starladder-budapest-major-2025-stage-2,Natus Vincere,8,23
FUT,EYEBALLERS,2,0,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,https://www.hltv.org/matches/2388541/fut-vs-eyeballers-dreamhack-knockout-stockholm-2025,FUT,14,34
FlyQuest,3DMAX,7,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388067/flyquest-vs-3dmax-starladder-budapest-major-2025-stage-2,3DMAX,29,13
Ninjas in Pyjamas,TYLOO,13,8,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388066/ninjas-in-pyjamas-vs-tyloo-starladder-budapest-major-2025-stage-2,Ninjas in Pyjamas,21,30
ECSTATIC,EYEBALLERS,1,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,https://www.hltv.org/matches/2388534/ecstatic-vs-eyeballers-dreamhack-knockout-stockholm-2025,EYEBALLERS,50,34
MIBR,Imperial,5,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388064/mibr-vs-imperial-starladder-budapest-major-2025-stage-2,Imperial,28,23
Liquid,B8,7,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388065/liquid-vs-b8-starladder-budapest-major-2025-stage-2,B8,15,16
9INE,GenOne,0,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,https://www.hltv.org/matches/2388539/9ine-vs-genone-dreamhack-knockout-stockholm-2025,GenOne,41,56
Natus Vincere,FlyQuest,13,2,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388062/natus-vincere-vs-flyquest-starladder-budapest-major-2025-stage-2,Natus Vincere,8,29
Aurora,M80,13,6,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388063/aurora-vs-m80-starladder-budapest-major-2025-stage-2,Aurora,11,24
Passion UA,FaZe,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388060/passion-ua-vs-faze-starladder-budapest-major-2025-stage-2,FaZe,17,7
PARIVISION,TYLOO,5,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388061/parivision-vs-tyloo-starladder-budapest-major-2025-stage-2,TYLOO,6,30
3DMAX,fnatic,6,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388059/3dmax-vs-fnatic-starladder-budapest-major-2025-stage-2,fnatic,13,33
Astralis,Ninjas in Pyjamas,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,https://www.hltv.org/matches/2388058/astralis-vs-ninjas-in-pyjamas-starladder-budapest-major-2025-stage-2,Ninjas in Pyjamas,12,21
Betclic,ARCRED,0,1,CCT Season 3 Europe Series 12 Closed Qualifier,Results for November 28th 2025,https://www.hltv.org/matches/2388396/betclic-vs-arcred-cct-season-3-europe-series-12-closed-qualifier,ARCRED,93,60
SINNERS,UNiTY,2,0,Tipsport MČR 2025,Results for November 28th 2025,https://www.hltv.org/matches/2388012/sinners-vs-unity-tipsport-mr-2025,SINNERS,65,91
PARIVISION,Legacy,2,1,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,https://www.hltv.org/matches/2388057/parivision-vs-legacy-starladder-budapest-major-2025-stage-1,PARIVISION,6,25
NRG,Imperial,0,2,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,https://www.hltv.org/matches/2388056/nrg-vs-imperial-starladder-budapest-major-2025-stage-1,Imperial,19,23
Fluxo,FaZe,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,https://www.hltv.org/matches/2388055/fluxo-vs-faze-starladder-budapest-major-2025-stage-1,FaZe,66,7
PARIVISION,GamerLegion,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388053/parivision-vs-gamerlegion-starladder-budapest-major-2025-stage-1,PARIVISION,6,20
Imperial,The Huns,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388054/imperial-vs-the-huns-starladder-budapest-major-2025-stage-1,Imperial,23,67
RED Canids,FaZe,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388051/red-canids-vs-faze-starladder-budapest-major-2025-stage-1,FaZe,38,7
NRG,fnatic,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388052/nrg-vs-fnatic-starladder-budapest-major-2025-stage-1,fnatic,19,33
K27,CYBERSHOKE,2,1,X2ONE Masters Season 1,Results for November 26th 2025,https://www.hltv.org/matches/2388347/k27-vs-cybershoke-x2one-masters-season-1,K27,40,58
B8,Legacy,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388050/b8-vs-legacy-starladder-budapest-major-2025-stage-1,B8,16,25
Fluxo,Ninjas in Pyjamas,0,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,https://www.hltv.org/matches/2388049/fluxo-vs-ninjas-in-pyjamas-starladder-budapest-major-2025-stage-1,Ninjas in Pyjamas,66,21
Sangal,CYBERSHOKE,1,2,X2ONE Masters Season 1,Results for November 26th 2025,https://www.hltv.org/matches/2388346/sangal-vs-cybershoke-x2one-masters-season-1,CYBERSHOKE,97,58
Oramond,FORZE Reload,2,0,European Pro League Series 3,Results for November 26th 2025,https://www.hltv.org/matches/2388290/oramond-vs-forze-reload-european-pro-league-series-3,Oramond,51,90
The Huns,Lynn Vision,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388048/the-huns-vs-lynn-vision-starladder-budapest-major-2025-stage-1,The Huns,67,36
M80,NRG,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388047/m80-vs-nrg-starladder-budapest-major-2025-stage-1,M80,24,19
Sangal,Nemiga,2,0,X2ONE Masters Season 1,Results for November 25th 2025,https://www.hltv.org/matches/2388344/sangal-vs-nemiga-x2one-masters-season-1,Sangal,97,55
GamerLegion,Rare Atom,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388046/gamerlegion-vs-rare-atom-starladder-budapest-major-2025-stage-1,GamerLegion,20,72
FlyQuest,Fluxo,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388045/flyquest-vs-fluxo-starladder-budapest-major-2025-stage-1,FlyQuest,29,66
FaZe,Ninjas in Pyjamas,8,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388043/faze-vs-ninjas-in-pyjamas-starladder-budapest-major-2025-stage-1,Ninjas in Pyjamas,7,21
fnatic,Imperial,13,3,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388044/fnatic-vs-imperial-starladder-budapest-major-2025-stage-1,fnatic,33,23
B8,PARIVISION,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388042/b8-vs-parivision-starladder-budapest-major-2025-stage-1,B8,16,6
Legacy,RED Canids,13,6,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388041/legacy-vs-red-canids-starladder-budapest-major-2025-stage-1,Legacy,25,38
FaZe,NRG,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388039/faze-vs-nrg-starladder-budapest-major-2025-stage-1,NRG,7,19
fnatic,Fluxo,9,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,https://www.hltv.org/matches/2388037/fnatic-vs-fluxo-starladder-budapest-major-2025-stage-1,Fluxo,33,66
Ninjas in Pyjamas,Lynn Vision,13,2,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388040/ninjas-in-pyjamas-vs-lynn-vision-starladder-budapest-major-2025-stage-1,Ninjas in Pyjamas,21,36
K27,Nemiga,2,0,X2ONE Masters Season 1,Results for November 24th 2025,https://www.hltv.org/matches/2388329/k27-vs-nemiga-x2one-masters-season-1,K27,40,55
PARIVISION,M80,9,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388035/parivision-vs-m80-starladder-budapest-major-2025-stage-1,M80,6,24
GamerLegion,RED Canids,6,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388038/gamerlegion-vs-red-canids-starladder-budapest-major-2025-stage-1,RED Canids,20,38
B8,The Huns,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388036/b8-vs-the-huns-starladder-budapest-major-2025-stage-1,B8,16,67
Imperial,FlyQuest,6,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388033/imperial-vs-flyquest-starladder-budapest-major-2025-stage-1,FlyQuest,23,29
Legacy,Rare Atom,13,6,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2388034/legacy-vs-rare-atom-starladder-budapest-major-2025-stage-1,Legacy,25,72
fnatic,RED Canids,16,14,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387852/fnatic-vs-red-canids-starladder-budapest-major-2025-stage-1,fnatic,33,38
FaZe,Lynn Vision,13,5,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387853/faze-vs-lynn-vision-starladder-budapest-major-2025-stage-1,FaZe,7,36
GamerLegion,Fluxo,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387857/gamerlegion-vs-fluxo-starladder-budapest-major-2025-stage-1,Fluxo,20,66
Ninjas in Pyjamas,NRG,7,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387856/ninjas-in-pyjamas-vs-nrg-starladder-budapest-major-2025-stage-1,NRG,21,19
PARIVISION,The Huns,13,8,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387854/parivision-vs-the-huns-starladder-budapest-major-2025-stage-1,PARIVISION,6,67
Legacy,FlyQuest,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387851/legacy-vs-flyquest-starladder-budapest-major-2025-stage-1,FlyQuest,25,29
B8,M80,11,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387855/b8-vs-m80-starladder-budapest-major-2025-stage-1,M80,16,24
Imperial,Rare Atom,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,https://www.hltv.org/matches/2387858/imperial-vs-rare-atom-starladder-budapest-major-2025-stage-1,Imperial,23,72
EYEBALLERS,BetBoom,2,1,CCT Season 3 Europe Series 11,Results for November 23rd 2025,https://www.hltv.org/matches/2387841/eyeballers-vs-betboom-cct-season-3-europe-series-11,EYEBALLERS,34,32
ECSTATIC,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 23rd 2025,https://www.hltv.org/matches/2388212/ecstatic-vs-fut-digital-crusade-draculan-season-3,FUT,50,14
1win,FAVBET,0,2,JB Pro League Season 1,Results for November 23rd 2025,https://www.hltv.org/matches/2388267/1win-vs-favbet-jb-pro-league-season-1,FAVBET,77,68
Passion UA,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 23rd 2025,https://www.hltv.org/matches/2388211/passion-ua-vs-fut-digital-crusade-draculan-season-3,FUT,17,14
Oramond,FAVBET,1,2,JB Pro League Season 1,Results for November 23rd 2025,https://www.hltv.org/matches/2388266/oramond-vs-favbet-jb-pro-league-season-1,FAVBET,51,68
BetBoom,HEROIC,2,0,CCT Season 3 Europe Series 11,Results for November 23rd 2025,https://www.hltv.org/matches/2387840/betboom-vs-heroic-cct-season-3-europe-series-11,BetBoom,32,22
ENCE,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,https://www.hltv.org/matches/2388210/ence-vs-fut-digital-crusade-draculan-season-3,FUT,70,14
HEROIC,Nuclear TigeRES,2,0,CCT Season 3 Europe Series 11,Results for November 22nd 2025,https://www.hltv.org/matches/2387838/heroic-vs-nuclear-tigeres-cct-season-3-europe-series-11,HEROIC,22,43
ECSTATIC,Passion UA,2,0,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,https://www.hltv.org/matches/2388209/ecstatic-vs-passion-ua-digital-crusade-draculan-season-3,ECSTATIC,50,17
Tricked,FUT,1,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,https://www.hltv.org/matches/2388208/tricked-vs-fut-digital-crusade-draculan-season-3,FUT,59,14
BetBoom,Oramond,2,0,CCT Season 3 Europe Series 11,Results for November 22nd 2025,https://www.hltv.org/matches/2387837/betboom-vs-oramond-cct-season-3-europe-series-11,BetBoom,32,51
Alliance,1win,1,2,JB Pro League Season 1,Results for November 22nd 2025,https://www.hltv.org/matches/2388262/alliance-vs-1win-jb-pro-league-season-1,1win,76,77
FUT,Inner Circle,2,1,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,https://www.hltv.org/matches/2388206/fut-vs-inner-circle-digital-crusade-draculan-season-3,FUT,14,44
illwill,ENCE,0,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,https://www.hltv.org/matches/2388205/illwill-vs-ence-digital-crusade-draculan-season-3,ENCE,46,70
