date,team,rank,points
2025-07-28,BESTIA,76,10
2025-07-28,9z,77,10
2025-07-28,The Last Resort,78,10
2025-07-28,ARCRED,79,10
2025-07-28,Bounty Hunters,80,10
2025-07-28,AMKAL,81,9
2025-07-28,2GAME,82,9
2025-07-28,VP.Prodigy,83,9
2025-07-28,Metizport,84,9
2025-07-28,Chicken Coop,85,9
2025-07-28,ALASKA,86,9
2025-07-28,CPH Wolves,87,9
2025-07-28,LAG,88,9
2025-07-28,Flamengo,89,9
2025-07-28,AaB,90,9
2025-07-28,Rhyno,91,9
2025-07-28,The Huns,92,9
2025-07-28,SPARTA,93,9
2025-07-28,EYEBALLERS,94,8
2025-07-28,hypewrld,95,8
2025-07-28,MANA,96,8
2025-07-28,GameHunters,97,8
2025-07-28,SemperFi,98,8
2025-07-28,SINNERS,99,8
2025-07-28,ECLOT,100,8
2025-08-04,Vitality,1,1000
2025-08-04,MOUZ,2,655
2025-08-04,Spirit,3,653
2025-08-04,The MongolZ,4,492
2025-08-04,Natus Vincere,5,351
2025-08-04,FURIA,6,308
2025-08-04,FaZe,7,280
2025-08-04,Falcons,8,263
2025-08-04,Aurora,9,255
2025-08-04,paiN,10,201
2025-08-04,G2,11,181
2025-08-04,Astralis,12,181
2025-08-04,GamerLegion,13,173
2025-08-04,3DMAX,14,160
2025-08-04,TYLOO,15,124
2025-08-04,Legacy,16,124
2025-08-04,Liquid,17,109
2025-08-04,Virtus.pro,18,109
2025-08-04,Lynn Vision,19,96
2025-08-04,HEROIC,20,96
2025-08-04,Ninjas in Pyjamas,21,94
2025-08-04,MIBR,22,74
2025-08-04,Complexity,23,68
2025-08-04,B8,24,64
2025-08-04,SAW,25,63
2025-08-04,BetBoom,26,60
2025-08-04,Nemiga,27,57
2025-08-04,FlyQuest,28,50
2025-08-04,BIG,29,46
2025-08-04,M80,30,36
2025-08-04,TNL,31,35
2025-08-04,ECSTATIC,32,31
2025-08-04,Passion UA,33,30
2025-08-04,Wildcard,34,27
2025-08-04,OG,35,26
2025-08-04,Iberian Soul,36,26
2025-08-04,fnatic,37,26
2025-08-04,Imperial,38,24
2025-08-04,NRG,39,23
2025-08-04,PARIVISION,40,22
2025-08-04,FUT,41,22
2025-08-04,Chinggis Warriors,42,19
2025-08-04,Partizan,43,19
2025-08-04,Alliance,44,19
2025-08-04,ODDIK,45,18
2025-08-04,ENCE,46,17
2025-08-04,Rare Atom,47,17
2025-08-04,HOTU,48,17
2025-08-04,Sashi,49,16
2025-08-04,Fluxo,50,16
2025-08-04,KOLESIE,51,16
2025-08-04,CYBERSHOKE,52,16
2025-08-04,Sharks,53,16
2025-08-04,Zero Tenacity,54,16
2025-08-04,ESC,55,15
2025-08-04,Nexus,56,15
2025-08-04,33,57,13
2025-08-04,Betclic,58,13
2025-08-04,RED Canids,59,13
2025-08-04,9INE,60,13
2025-08-04,Eruption,61,13
2025-08-04,BLUEJAYS,62,13
2025-08-04,Tricked,63,12
2025-08-04,Sangal,64,12
2025-08-04,Marsborne,65,12
2025-08-04,BC.Game,66,12
2025-08-04,VP.Prodigy,67,12
2025-08-04,The Huns,68,11
2025-08-04,m1x,69,11
2025-08-04,GUN5,70,11
2025-08-04,Monte,71,11
2025-08-04,9z,72,10
2025-08-04,RUBY,73,10
2025-08-04,Spirit Academy,74,10
2025-08-04,Johnny Speeds,75,10
2025-08-04,Getting Info,76,10
2025-08-04,2GAME,77,10
2025-08-04,Betera,78,10
2025-08-04,Metizport,79,10
2025-08-04,LAG,80,10
2025-08-04,The Last Resort,81,9
2025-08-04,BESTIA,82,9
2025-08-04,FAVBET,83,9
2025-08-04,Flamengo,84,9
2025-08-04,ALASKA,85,9
2025-08-04,SPARTA,86,9
2025-08-04,Chicken Coop,87,8
2025-08-04,CPH Wolves,88,8
2025-08-04,AaB,89,8
2025-08-04,EYEBALLERS,90,8
2025-08-04,Rhyno,91,8
2025-08-04,MANA,92,8
2025-08-04,AMKAL,93,8
2025-08-04,Insilio,94,8
2025-08-04,hypewrld,95,8
2025-08-04,SINNERS,96,8
2025-08-04,IHC,97,8
2025-08-04,Eternal Fire,98,8
2025-08-04,ShindeN,99,7
2025-08-04,G2 Ares,100,7
2025-08-11,Vitality,1,1000
2025-08-11,MOUZ,2,671
2025-08-11,Spirit,3,636
2025-08-11,The MongolZ,4,526
2025-08-11,Natus Vincere,5,337
2025-08-11,FURIA,6,300
2025-08-11,Aurora,7,271
2025-08-11,FaZe,8,269
2025-08-11,Falcons,9,250
2025-08-11,paiN,10,208
2025-08-11,Astralis,11,190
2025-08-11,G2,12,169
2025-08-11,GamerLegion,13,166
2025-08-11,3DMAX,14,150
2025-08-11,Liquid,15,145
2025-08-11,Virtus.pro,16,143
2025-08-11,Legacy,17,124
2025-08-11,TYLOO,18,115
2025-08-11,Lynn Vision,19,99
2025-08-11,HEROIC,20,98
2025-08-11,Ninjas in Pyjamas,21,81
2025-08-11,B8,22,70
2025-08-11,SAW,23,65
2025-08-11,MIBR,24,58
2025-08-11,BetBoom,25,56
2025-08-11,Complexity,26,54
2025-08-11,Nemiga,27,54
2025-08-11,FlyQuest,28,46
2025-08-11,BIG,29,45
2025-08-11,TNL,30,35
2025-08-11,M80,31,35
2025-08-11,OG,32,34
2025-08-11,Passion UA,33,33
2025-08-11,fnatic,34,32
2025-08-11,ECSTATIC,35,31
2025-08-11,FUT,36,27
2025-08-11,Wildcard,37,27
2025-08-11,Iberian Soul,38,24
2025-08-11,Partizan,39,23
2025-08-11,Imperial,40,23
2025-08-11,PARIVISION,41,23
2025-08-11,NRG,42,22
2025-08-11,Chinggis Warriors,43,19
2025-08-11,Sashi,44,18
2025-08-11,ENCE,45,17
2025-08-11,Alliance,46,17
2025-08-11,Rare Atom,47,16
2025-08-11,Fluxo,48,16
2025-08-11,KOLESIE,49,16
2025-08-11,ODDIK,50,16
2025-08-11,Sharks,51,14
2025-08-11,Zero Tenacity,52,14
2025-08-11,CYBERSHOKE,53,13
2025-08-11,Marsborne,54,13
2025-08-11,ESC,55,13
2025-08-11,Nexus,56,13
2025-08-11,HOTU,57,13
2025-08-11,33,58,12
2025-08-11,BLUEJAYS,59,12
2025-08-11,Eruption,60,12
2025-08-11,BC.Game,61,12
2025-08-11,The Huns,62,12
2025-08-11,9INE,63,12
2025-08-11,VP.Prodigy,64,12
2025-08-11,RED Canids,65,11
2025-08-11,BESTIA,66,11
2025-08-11,Sangal,67,11
2025-08-11,9z,68,11
2025-08-11,Johnny Speeds,69,11
2025-08-11,Tricked,70,10
2025-08-11,Betclic,71,10
2025-08-11,Monte,72,10
2025-08-11,GUN5,73,10
2025-08-11,Getting Info,74,9
2025-08-11,Betera,75,9
2025-08-11,LAG,76,9
2025-08-11,m1x,77,9
2025-08-11,EYEBALLERS,78,9
2025-08-11,Metizport,79,9
2025-08-11,The Last Resort,80,9
2025-08-11,Flamengo,81,9
2025-08-11,RUBY,82,9
2025-08-11,ALASKA,83,9
2025-08-11,CPH Wolves,84,9
2025-08-11,2GAME,85,9
2025-08-11,SINNERS,86,8
2025-08-11,Chicken Coop,87,8
2025-08-11,500,88,8
2025-08-11,AaB,89,8
2025-08-11,Rhyno,90,8
2025-08-11,Reason,91,8
2025-08-11,Insilio,92,7
2025-08-11,Spirit Academy,93,7
2025-08-11,hypewrld,94,7
2025-08-11,InControl,95,7
2025-08-11,SPARTA,96,7
2025-08-11,FAVBET,97,7
2025-08-11,Famalicão,98,7
2025-08-11,ShindeN,99,7
2025-08-11,Bounty Hunters,100,7
2025-08-18,Vitality,1,944
2025-08-18,Spirit,2,850
2025-08-18,MOUZ,3,667
2025-08-18,The MongolZ,4,616
2025-08-18,Natus Vincere,5,332
2025-08-18,FURIA,6,297
2025-08-18,FaZe,7,267
2025-08-18,Aurora,8,242
2025-08-18,Falcons,9,231
2025-08-18,paiN,10,207
2025-08-18,Astralis,11,188
2025-08-18,G2,12,161
2025-08-18,GamerLegion,13,153
2025-08-18,3DMAX,14,147
2025-08-18,Virtus.pro,15,141
2025-08-18,Liquid,16,138
2025-08-18,Legacy,17,129
2025-08-18,TYLOO,18,119
2025-08-18,Lynn Vision,19,108
2025-08-18,HEROIC,20,88
2025-08-18,Ninjas in Pyjamas,21,79
2025-08-18,B8,22,71
2025-08-18,SAW,23,61
2025-08-18,MIBR,24,58
2025-08-18,BetBoom,25,57
2025-08-18,Complexity,26,54
2025-08-18,Nemiga,27,52
2025-08-18,FlyQuest,28,47
2025-08-18,BIG,29,42
2025-08-18,OG,30,41
2025-08-18,M80,31,38
2025-08-18,fnatic,32,37
2025-08-18,Iberian Soul,33,35
2025-08-18,TNL,34,35
2025-08-18,FUT,35,30
2025-08-18,PARIVISION,36,30
2025-08-18,Imperial,37,29
2025-08-18,ECSTATIC,38,28
2025-08-18,Wildcard,39,27
2025-08-18,Partizan,40,26
2025-08-18,ENCE,41,24
2025-08-18,9INE,42,24
2025-08-18,NRG,43,24
2025-08-18,ODDIK,44,20
2025-08-18,Rare Atom,45,19
2025-08-18,Sashi,46,18
2025-08-18,Chinggis Warriors,47,18
2025-08-18,Alliance,48,17
2025-08-18,KOLESIE,49,17
2025-08-18,Zero Tenacity,50,17
2025-08-18,Sharks,51,16
2025-08-18,Fluxo,52,16
2025-08-18,Nexus,53,15
2025-08-18,HOTU,54,15
2025-08-18,Betera,55,15
2025-08-18,BLUEJAYS,56,14
2025-08-18,CYBERSHOKE,57,14
2025-08-18,Marsborne,58,14
2025-08-18,Betclic,59,14
2025-08-18,9z,60,14
2025-08-18,Johnny Speeds,61,14
2025-08-18,ESC,62,13
2025-08-18,BC.Game,63,13
2025-08-18,VP.Prodigy,64,13
2025-08-18,33,65,12
2025-08-18,The Huns,66,12
2025-08-18,RED Canids,67,12
2025-08-18,Sangal,68,12
2025-08-18,SELVA,69,12
2025-08-18,RUBY,70,11
2025-08-18,BESTIA,71,11
2025-08-18,Flamengo,72,11
2025-08-18,Eruption,73,11
2025-08-18,EYEBALLERS,74,11
2025-08-18,ShindeN,75,11
2025-08-18,LAG,76,11
2025-08-18,SINNERS,77,10
2025-08-18,GUN5,78,10
2025-08-18,Dusty Roots,79,10
2025-08-18,JiJieHao,80,10
2025-08-18,Monte,81,10
2025-08-18,m1x,82,10
2025-08-18,Chicken Coop,83,10
2025-08-18,2GAME,84,10
2025-08-18,Reason,85,10
2025-08-18,InControl,86,9
2025-08-18,CPH Wolves,87,9
2025-08-18,Spirit Academy,88,9
2025-08-18,AaB,89,9
2025-08-18,500,90,9
2025-08-18,Tricked,91,9
2025-08-18,BOSS,92,9
2025-08-18,IHC,93,9
2025-08-18,ex-W7M,94,9
2025-08-18,kONO,95,9
2025-08-18,HAWAII,96,9
2025-08-18,Metizport,97,8
2025-08-18,KRU,98,8
2025-08-18,hypewrld,99,8
2025-08-18,FAVBET,100,8
2025-08-25,Vitality,1,961
2025-08-25,Spirit,2,822
2025-08-25,The MongolZ,3,797
2025-08-25,MOUZ,4,666
2025-08-25,Aurora,5,354
2025-08-25,Natus Vincere,6,322
2025-08-25,Falcons,7,317
2025-08-25,FURIA,8,302
2025-08-25,FaZe,9,219
2025-08-25,paiN,10,213
2025-08-25,Astralis,11,190
2025-08-25,3DMAX,12,175
2025-08-25,G2,13,156
2025-08-25,TYLOO,14,150
2025-08-25,Virtus.pro,15,146
2025-08-25,GamerLegion,16,137
2025-08-25,Legacy,17,135
2025-08-25,HEROIC,18,128
2025-08-25,Liquid,19,122
2025-08-25,Lynn Vision,20,114
2025-08-25,Ninjas in Pyjamas,21,82
2025-08-25,B8,22,75
2025-08-25,BetBoom,23,66
2025-08-25,SAW,24,64
2025-08-25,MIBR,25,58
2025-08-25,Nemiga,26,56
2025-08-25,FlyQuest,27,46
2025-08-25,Passion UA,28,46
2025-08-25,OG,29,44
2025-08-25,M80,30,40
2025-08-25,TNL,31,38
2025-08-25,BIG,32,37
2025-08-25,Iberian Soul,33,36
2025-08-25,fnatic,34,35
2025-08-25,PARIVISION,35,33
2025-08-25,ECSTATIC,36,30
2025-08-25,Wildcard,37,30
2025-08-25,Imperial,38,30
2025-08-25,FUT,39,26
2025-08-25,NRG,40,25
2025-08-25,9INE,41,25
2025-08-25,Partizan,42,23
2025-08-25,ENCE,43,22
2025-08-25,ODDIK,44,21
2025-08-25,Rare Atom,45,21
2025-08-25,Alliance,46,21
2025-08-25,Sashi,47,21
2025-08-25,Zero Tenacity,48,20
2025-08-25,BC.Game,49,20
2025-08-25,Fluxo,50,19
2025-08-25,Chinggis Warriors,51,19
2025-08-25,KOLESIE,52,18
2025-08-25,Sharks,53,17
2025-08-25,Betera,54,17
2025-08-25,BLUEJAYS,55,16
2025-08-25,ESC,56,16
2025-08-25,Marsborne,57,16
2025-08-25,VP.Prodigy,58,15
2025-08-25,HOTU,59,15
2025-08-25,9z,60,15
2025-08-25,Johnny Speeds,61,14
2025-08-25,Betclic,62,14
2025-08-25,CYBERSHOKE,63,14
2025-08-25,The Huns,64,13
2025-08-25,RED Canids,65,13
2025-08-25,Flamengo,66,13
2025-08-25,Monte,67,13
2025-08-25,EYEBALLERS,68,13
2025-08-25,SELVA,69,12
2025-08-25,LAG,70,12
2025-08-25,ShindeN,71,12
2025-08-25,BESTIA,72,12
2025-08-25,RUBY,73,12
2025-08-25,Eruption,74,12
2025-08-25,33,75,11
2025-08-25,GUN5,76,11
2025-08-25,Chicken Coop,77,11
2025-08-25,Spirit Academy,78,11
2025-08-25,Nexus,79,11
2025-08-25,SINNERS,80,10
2025-08-25,BOSS,81,10
2025-08-25,m1x,82,10
2025-08-25,2GAME,83,10
2025-08-25,CPH Wolves,84,10
2025-08-25,Reason,85,10
2025-08-25,InControl,86,10
2025-08-25,Metizport,87,10
2025-08-25,Sangal,88,10
2025-08-25,AaB,89,10
2025-08-25,JiJieHao,90,10
2025-08-25,Eternal Fire,91,10
2025-08-25,Dusty Roots,92,10
2025-08-25,ex-W7M,93,9
2025-08-25,500,94,9
2025-08-25,HAWAII,95,9
2025-08-25,KRU,96,9
2025-08-25,hypewrld,97,9
2025-08-25,SPARTA,98,9
2025-08-25,IHC,99,8
2025-08-25,Tricked,100,8
2025-09-08,Vitality,1,1000
2025-09-08,The MongolZ,2,800
2025-09-08,MOUZ,3,685
2025-09-08,Spirit,4,655
2025-09-08,G2,5,385
2025-09-08,Aurora,6,359
2025-09-08,FURIA,7,352
2025-09-08,Falcons,8,319
2025-09-08,Natus Vincere,9,293
2025-09-08,FaZe,10,221
2025-09-08,3DMAX,11,206
2025-09-08,paiN,12,179
2025-09-08,Astralis,13,172
2025-09-08,TYLOO,14,171
2025-09-08,GamerLegion,15,140
2025-09-08,Liquid,16,125
2025-09-08,HEROIC,17,110
2025-09-08,Lynn Vision,18,105
2025-09-08,M80,19,100
2025-09-08,Virtus.pro,20,97
2025-09-08,Ninjas in Pyjamas,21,87
2025-09-08,Legacy,22,80
2025-09-08,BetBoom,23,76
2025-09-08,SAW,24,72
2025-09-08,fnatic,25,62
2025-09-08,FlyQuest,26,57
2025-09-08,B8,27,55
2025-09-08,PARIVISION,28,46
2025-09-08,Passion UA,29,44
2025-09-08,OG,30,44
2025-09-08,TNL,31,44
2025-09-08,Gentle Mates,32,42
2025-09-08,MIBR,33,40
2025-09-08,BIG,34,40
2025-09-08,ENCE,35,39
2025-09-08,NRG,36,38
2025-09-08,Imperial,37,36
2025-09-08,Nemiga,38,35
2025-09-08,FUT,39,32
2025-09-08,9INE,40,30
2025-09-08,ODDIK,41,28
2025-09-08,Monte,42,28
2025-09-08,Rare Atom,43,25
2025-09-08,EYEBALLERS,44,24
2025-09-08,The Huns,45,23
2025-09-08,Wildcard,46,23
2025-09-08,ECSTATIC,47,23
2025-09-08,BC.Game,48,23
2025-09-08,Fluxo,49,22
2025-09-08,Alliance,50,22
2025-09-08,Rave,51,22
2025-09-08,Zero Tenacity,52,22
2025-09-08,Venom,53,22
2025-09-08,Partizan,54,22
2025-09-08,Marsborne,55,22
2025-09-08,Betera,56,21
2025-09-08,Sashi,57,20
2025-09-08,ESC,58,20
2025-09-08,9z,59,19
2025-09-08,Chinggis Warriors,60,19
2025-09-08,Reason,61,18
2025-09-08,BESTIA,62,17
2025-09-08,Johnny Speeds,63,17
2025-09-08,VP.Prodigy,64,17
2025-09-08,Keyd Stars,65,16
2025-09-08,33,66,16
2025-09-08,Spirit Academy,67,16
2025-09-08,Sharks,68,15
2025-09-08,HOTU,69,15
2025-09-08,aimclub,70,15
2025-09-08,ShindeN,71,14
2025-09-08,Betclic,72,14
2025-09-08,FORZE Reload,73,13
2025-09-08,RED Canids,74,13
2025-09-08,LAG,75,13
2025-09-08,CYBERSHOKE,76,13
2025-09-08,Getting Info,77,13
2025-09-08,Eternal Fire,78,13
2025-09-08,CPH Wolves,79,12
2025-09-08,ex-W7M,80,12
2025-09-08,SINNERS,81,12
2025-09-08,Chicken Coop,82,12
2025-09-08,AaB,83,12
2025-09-08,Eruption,84,12
2025-09-08,Dusty Roots,85,12
2025-09-08,Galorys,86,12
2025-09-08,BOSS,87,12
2025-09-08,RUBY,88,12
2025-09-08,JiJieHao,89,12
2025-09-08,ARCRED,90,12
2025-09-08,Nexus,91,11
2025-09-08,2GAME,92,11
2025-09-08,1win,93,11
2025-09-08,GameHunters,94,11
2025-09-08,HAWAII,95,11
2025-09-08,Sangal,96,11
2025-09-08,Metizport,97,11
2025-09-08,AMKAL,98,11
2025-09-08,500,99,11
2025-09-08,Kaleido,100,10
2025-09-15,Vitality,1,962
2025-09-15,The MongolZ,2,820
2025-09-15,MOUZ,3,680
2025-09-15,Spirit,4,669
2025-09-15,G2,5,405
2025-09-15,FURIA,6,398
2025-09-15,Aurora,7,385
2025-09-15,Falcons,8,363
2025-09-15,Natus Vincere,9,302
2025-09-15,FaZe,10,254
2025-09-15,3DMAX,11,224
2025-09-15,paiN,12,186
2025-09-15,GamerLegion,13,159
2025-09-15,Astralis,14,145
2025-09-15,Liquid,15,140
2025-09-15,TYLOO,16,134
2025-09-15,HEROIC,17,116
2025-09-15,Virtus.pro,18,110
2025-09-15,M80,19,97
2025-09-15,Legacy,20,94
2025-09-15,Lynn Vision,21,88
2025-09-15,Ninjas in Pyjamas,22,77
2025-09-15,fnatic,23,75
2025-09-15,FlyQuest,24,61
2025-09-15,B8,25,57
2025-09-15,OG,26,55
2025-09-15,BetBoom,27,48
2025-09-15,SAW,28,47
2025-09-15,ENCE,29,44
2025-09-15,ECSTATIC,30,43
2025-09-15,9INE,31,41
2025-09-15,Imperial,32,41
2025-09-15,PARIVISION,33,41
2025-09-15,Gentle Mates,34,39
2025-09-15,NRG,35,39
2025-09-15,Nemiga,36,37
2025-09-15,BIG,37,35
2025-09-15,Passion UA,38,32
2025-09-15,Monte,39,32
2025-09-15,MIBR,40,32
2025-09-15,FUT,41,30
2025-09-15,The Huns,42,29
2025-09-15,BC.Game,43,29
2025-09-15,Wildcard,44,27
2025-09-15,9z,45,25
2025-09-15,TNL,46,24
2025-09-15,Betera,47,24
2025-09-15,ODDIK,48,23
2025-09-15,EYEBALLERS,49,23
2025-09-15,Zero Tenacity,50,23
2025-09-15,Reason,51,22
2025-09-15,Rare Atom,52,22
2025-09-15,Marsborne,53,21
2025-09-15,Chinggis Warriors,54,21
2025-09-15,ShindeN,55,19
2025-09-15,Venom,56,18
2025-09-15,Rave,57,18
2025-09-15,Spirit Academy,58,18
2025-09-15,Galorys,59,17
2025-09-15,Sangal,60,17
2025-09-15,Partizan,61,17
2025-09-15,Alliance,62,17
2025-09-15,BESTIA,63,17
2025-09-15,VP.Prodigy,64,16
2025-09-15,Sashi,65,16
2025-09-15,aimclub,66,16
2025-09-15,Eternal Fire,67,16
2025-09-15,ESC,68,16
2025-09-15,Fluxo,69,16
2025-09-15,33,70,15
2025-09-15,ARCRED,71,15
2025-09-15,HOTU,72,15
2025-09-15,CYBERSHOKE,73,15
2025-09-15,SINNERS,74,15
2025-09-15,BOSS,75,15
2025-09-15,Sharks,76,14
2025-09-15,Keyd Stars,77,14
2025-09-15,JiJieHao,78,14
2025-09-15,FORZE Reload,79,14
2025-09-15,ex-W7M,80,13
2025-09-15,Tricked,81,13
2025-09-15,Getting Info,82,13
2025-09-15,1win,83,13
2025-09-15,Eruption,84,12
2025-09-15,Rooster,85,12
2025-09-15,AMKAL,86,12
2025-09-15,GameHunters,87,12
2025-09-15,Metizport,88,11
2025-09-15,Nexus,89,11
2025-09-15,LAG,90,11
2025-09-15,SemperFi,91,11
2025-09-15,Kaleido,92,11
2025-09-15,Johnny Speeds,93,11
2025-09-15,K27,94,11
2025-09-15,500,95,11
2025-09-15,FAVBET,96,10
2025-09-15,RUBY,97,10
2025-09-15,NomadS,98,10
2025-09-15,Alter Ego,99,10
2025-09-15,CPH Wolves,100,10
2025-09-22,Vitality,1,910
2025-09-22,The MongolZ,2,894
2025-09-22,Spirit,3,650
2025-09-22,MOUZ,4,636
2025-09-22,FURIA,5,551
2025-09-22,G2,6,447
2025-09-22,Falcons,7,405
2025-09-22,Aurora,8,395
2025-09-22,Natus Vincere,9,339
2025-09-22,paiN,10,231
2025-09-22,FaZe,11,229
2025-09-22,Liquid,12,207
2025-09-22,3DMAX,13,197
2025-09-22,Astralis,14,185
2025-09-22,TYLOO,15,135
2025-09-22,Virtus.pro,16,126
2025-09-22,GamerLegion,17,118
2025-09-22,HEROIC,18,101
2025-09-22,Legacy,19,100
2025-09-22,M80,20,93
2025-09-22,Lynn Vision,21,89
2025-09-22,B8,22,81
2025-09-22,Ninjas in Pyjamas,23,79
2025-09-22,fnatic,24,69
2025-09-22,OG,25,54
2025-09-22,Gentle Mates,26,52
2025-09-22,PARIVISION,27,50
2025-09-22,BetBoom,28,49
2025-09-22,FlyQuest,29,46
2025-09-22,SAW,30,46
2025-09-22,ECSTATIC,31,43
2025-09-22,ENCE,32,42
2025-09-22,9INE,33,41
2025-09-22,Imperial,34,40
