team1,team2,score1,score2,event,date,winner
MOUZ NXT,los kogutos,1,2,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 21st 2026,los kogutos
Bebop,ALLINNERS,2,1,European Pro League Series 4,Results for January 21st 2026,Bebop
Nemesis,ARCRED,0,2,CCT Season 3 Europe Series 13,Results for January 21st 2026,ARCRED
MASONIC,Truck Drivers,0,2,United21 League Season 43,Results for January 21st 2026,Truck Drivers
Crashers,Oruga,1,2,CCT Season 3 South America Series 7,Results for January 21st 2026,Oruga
Ursa,Bebop,2,1,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 20th 2026,Ursa
GameHunters,Vasco,1,2,CCT Season 3 South America Series 7,Results for January 20th 2026,Vasco
1win,GenOne,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,1win
BRUTE,MASONIC,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 20th 2026,BRUTE
kONO,Bushido Wildcats,2,1,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 20th 2026,kONO
Bad Luck,Prison Breakers,1,2,CCT Season 3 South America Series 7,Results for January 20th 2026,Prison Breakers
illwill,Pigeons,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 20th 2026,illwill
Sangal,FORZE Reload,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,Sangal
magic,MANA,2,0,European Pro League Series 4,Results for January 20th 2026,magic
AaB,BASEMENT BOYS,2,1,NODWIN Clutch Series 4 Closed Qualifier,Results for January 20th 2026,AaB
FAVBET,Phantom,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,FAVBET
BIG Academy,NAVI Junior,2,0,United21 League Season 43,Results for January 20th 2026,BIG Academy
MOUZ NXT,BASEMENT BOYS,2,1,European Pro League Series 4,Results for January 20th 2026,MOUZ NXT
Acend,BASEMENT BOYS,1,0,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 20th 2026,Acend
rottweilers,Pigeons,2,0,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 20th 2026,rottweilers
Prestige,FUT Academy,2,0,United21 League Season 43,Results for January 20th 2026,Prestige
ARCRED,Bebop,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 20th 2026,ARCRED
Nuclear TigeRES,UNiTY,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,Nuclear TigeRES
paiN Academy,Charrados,2,1,CCT Season 3 South America Series 7,Results for January 20th 2026,paiN Academy
Nemesis,FORZE Reload,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,Nemesis
MAGICOS,lospegadinhas,2,0,CCT Season 3 South America Series 7,Results for January 19th 2026,MAGICOS
BASEMENT BOYS,Bebop,0,1,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 19th 2026,Bebop
Acend,Ursa,1,2,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 19th 2026,Ursa
Satriales,HereWeGoAgain,1,2,CCT Season 3 South America Series 7,Results for January 19th 2026,HereWeGoAgain
BET-M,FAVBET,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,BET-M
UNiTY,Fingers Crossed,0,2,European Pro League Series 4,Results for January 19th 2026,Fingers Crossed
Bushido Wildcats,Pigeons,2,0,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 19th 2026,Bushido Wildcats
Lilmix,Bebop,0,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 19th 2026,Bebop
Nemiga,GenOne,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,Nemiga
FUT Academy,Truck Drivers,0,2,United21 League Season 43,Results for January 19th 2026,Truck Drivers
Metizport,ex-RUBY,0,2,European Pro League Series 4,Results for January 19th 2026,ex-RUBY
kONO,rottweilers,2,0,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 19th 2026,kONO
Nuclear TigeRES,ARCRED,1,2,CCT Season 3 Europe Series 13,Results for January 19th 2026,ARCRED
MASONIC,NAVI Junior,2,1,United21 League Season 43,Results for January 19th 2026,MASONIC
Pigeons,los kogutos,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 19th 2026,Pigeons
japczany,DUNDU,1,0,European Pro League Series 4,Results for January 19th 2026,japczany
FengDa,Eruption,0,2,ZHI-TECH Elite Masters 2026 Play-in,Results for January 19th 2026,Eruption
Lynn Vision,Walk The Talk,2,0,ZHI-TECH Elite Masters 2026 Play-in,Results for January 19th 2026,Lynn Vision
Sharks,MIBR,3,2,BetBoom RUSH B Summit Season 1,Results for January 19th 2026,Sharks
Players,Oruga,2,1,CCT Season 3 South America Series 7,Results for January 19th 2026,Players
Vasco,Four Magic,1,2,CCT Season 3 South America Series 7,Results for January 18th 2026,Four Magic
FUT,FURIA,1,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,FURIA
AaB,Bebop,2,1,NODWIN Clutch Series 4 Closed Qualifier,Results for January 18th 2026,AaB
AM,UNiTY,2,1,CCT Season 3 Europe Series 13,Results for January 18th 2026,AM
Betclic,BIG,0,2,Roman Imperium Cup IV,Results for January 18th 2026,BIG
Eternal Fire,Acend,2,1,A1 Gaming League Season 11,Results for January 18th 2026,Eternal Fire
Bad Luck,Charrados,2,1,CCT Season 3 South America Series 7,Results for January 18th 2026,Bad Luck
EYEBALLERS,Vitality,0,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,Vitality
Oramond,Phantom,2,1,CCT Season 3 Europe Series 13,Results for January 18th 2026,Oramond
Lilmix,STATE,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 18th 2026,Lilmix
BIG,Rebels,2,0,Roman Imperium Cup IV,Results for January 18th 2026,BIG
HyperSpirit,AaB,2,1,A1 Gaming League Season 11,Results for January 18th 2026,HyperSpirit
FlyQuest,Steel Helmet,2,0,ZHI-TECH Elite Masters 2026 Play-in,Results for January 18th 2026,FlyQuest
GameHunters,Satriales,2,0,CCT Season 3 South America Series 7,Results for January 18th 2026,GameHunters
Inner Circle,Spirit,0,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,Spirit
Sangal,illwill,0,2,CCT Season 3 Europe Series 13,Results for January 18th 2026,illwill
MOUZ NXT,Betclic,1,2,Roman Imperium Cup IV,Results for January 18th 2026,Betclic
los kogutos,BRUTE,0,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 18th 2026,BRUTE
Acend,Eternal Fire,0,2,European Pro League Series 4,Results for January 18th 2026,Eternal Fire
Rare Atom,UR,2,1,ZHI-TECH Elite Masters 2026 Play-in,Results for January 18th 2026,Rare Atom
Chicken Burger,BIG Academy,0,2,United21 League Season 43,Results for January 18th 2026,BIG Academy
PARIVISION,Astralis,2,0,BLAST Bounty 2026 Season 1,Results for January 18th 2026,PARIVISION
hindsight,Pigeons,1,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 18th 2026,Pigeons
1win,ex-RUBY,0,2,CCT Season 3 Europe Series 13,Results for January 18th 2026,ex-RUBY
FORZE Reload,MASONIC,0,2,European Pro League Series 4,Results for January 18th 2026,MASONIC
Midnight,Prestige,0,2,United21 League Season 43,Results for January 18th 2026,Prestige
JiJieHao,Just Swing,2,1,ZHI-TECH Elite Masters 2026 Play-in,Results for January 18th 2026,JiJieHao
Legacy,MIBR,1,2,BetBoom RUSH B Summit Season 1,Results for January 18th 2026,MIBR
Tricked,Johnny Speeds,2,1,PLAYR Masters Season 1,Results for January 18th 2026,Tricked
9z,Galorys,2,0,IEM Rio 2026 Americas Open Qualifier,Results for January 18th 2026,9z
GameHunters,ODDIK,0,2,IEM Rio 2026 Americas Open Qualifier,Results for January 18th 2026,ODDIK
FOLHA AMARELA,RED Canids,0,2,IEM Rio 2026 Americas Open Qualifier,Results for January 18th 2026,RED Canids
Crashers,MAGICOS,2,0,CCT Season 3 South America Series 7,Results for January 18th 2026,Crashers
MIBR,ShindeN,0,2,IEM Rio 2026 Americas Open Qualifier,Results for January 18th 2026,ShindeN
RED Canids,Four Magic,13,9,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,RED Canids
ODDIK,descalco na neve,13,2,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,ODDIK
Galorys,Procyon,13,9,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,Galorys
Keyd Stars,GameHunters,6,13,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,GameHunters
ShindeN,Fake do Biru,13,7,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,ShindeN
Nemesis,Ursa,2,1,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nemesis
9z,ALZON,13,4,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,9z
Monte,Falcons,0,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,Falcons
MIBR,Imperial,2,0,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,MIBR
Prison Breakers,paiN Academy,2,0,CCT Season 3 South America Series 7,Results for January 17th 2026,Prison Breakers
Nuclear TigeRES,ENCE,2,1,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nuclear TigeRES
Sangal,KOLESIE,2,0,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Sangal
UNiTY,Bebop,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,UNiTY
BASEMENT BOYS,Rebels,0,2,Roman Imperium Cup IV,Results for January 17th 2026,Rebels
megoshort,STATE,1,2,PLAYR Masters Season 1,Results for January 17th 2026,STATE
BIG Academy,GenOne,2,0,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,BIG Academy
GamerLegion,Aurora,2,1,BLAST Bounty 2026 Season 1,Results for January 17th 2026,GamerLegion
GenOne,los kogutos,1,0,A1 Gaming League Season 11,Results for January 17th 2026,GenOne
MANA,BIG,0,2,Roman Imperium Cup IV,Results for January 17th 2026,BIG
Ursa,Leo,13,9,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Ursa
lospegadinhas,internet kings,2,1,CCT Season 3 South America Series 7,Results for January 17th 2026,lospegadinhas
Fingers Crossed,BRUTE,2,0,A1 Gaming League Season 11,Results for January 17th 2026,Fingers Crossed
FORZE Reload,los kogutos,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,FORZE Reload
Nemesis,1win,13,10,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nemesis
KOLESIE,Metizport,13,11,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,KOLESIE
QWENTRY,GenOne,11,13,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,GenOne
ENCE,eLITenergy,13,9,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,ENCE
Virtus.pro,Nuclear TigeRES,10,13,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nuclear TigeRES
BULGARIAPEEK,Sangal,9,13,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Sangal
BIG Academy,LFO 6,13,4,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,BIG Academy
Betclic,MINLATE,2,1,Roman Imperium Cup IV,Results for January 17th 2026,Betclic
The Huns,XDM,2,1,ZHI-TECH Elite Masters 2026 Play-in,Results for January 17th 2026,The Huns
STATE,Johnny Speeds,1,2,PLAYR Masters Season 1,Results for January 17th 2026,Johnny Speeds
Gentle Mates,Liquid,1,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,Liquid
Tricked,megoshort,2,0,PLAYR Masters Season 1,Results for January 17th 2026,Tricked
Washington,Phantom,1,2,A1 Gaming League Season 11,Results for January 17th 2026,Phantom
ELITES,HereWeGoAgain,0,2,CCT Season 3 South America Series 7,Results for January 17th 2026,HereWeGoAgain
MASONIC,STATE,1,0,A1 Gaming League Season 11,Results for January 17th 2026,MASONIC
ex-RUBY,ALLINNERS,2,0,European Pro League Series 4,Results for January 17th 2026,ex-RUBY
Ursa,illwill,0,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,illwill
paiN,HEROIC,0,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,HEROIC
Morningstar,EGG,2,1,ZHI-TECH Elite Masters 2026 Play-in,Results for January 17th 2026,Morningstar
MOUZ NXT,Famalicão,2,0,Roman Imperium Cup IV,Results for January 17th 2026,MOUZ NXT
BIG Academy,Truck Drivers,1,2,United21 League Season 43,Results for January 17th 2026,Truck Drivers
Metizport,Bebop,2,1,European Pro League Series 4,Results for January 17th 2026,Metizport
Prestige,megoshort,0,2,PLAYR Masters Season 1,Results for January 17th 2026,megoshort
Sashi,Johnny Speeds,0,2,PLAYR Masters Season 1,Results for January 17th 2026,Johnny Speeds
Eternal Fire,ARCRED,0,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,ARCRED
STATE,HEROIC Academy,2,0,PLAYR Masters Season 1,Results for January 17th 2026,STATE
Tricked,AaB,2,0,PLAYR Masters Season 1,Results for January 17th 2026,Tricked
Change The Game,Chinggis Warriors,0,2,ZHI-TECH Elite Masters 2026 Play-in,Results for January 17th 2026,Chinggis Warriors
NAVI Junior,Prestige,1,0,United21 League Season 43,Results for January 17th 2026,NAVI Junior
Sharks,Legacy,2,1,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,Sharks
Vasco,Prison Breakers,2,1,CCT Season 3 South America Series 7,Results for January 17th 2026,Vasco
MIBR,Starlinks,13,3,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,MIBR
Gaimin Gladiators,Imperial,0,2,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,Imperial
Bounty Hunters,FOLHA AMARELA,5,13,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,FOLHA AMARELA
megoshort,SemperFi,2,1,PLAYR Masters Season 1,Results for January 17th 2026,megoshort
Famalicão,HyperSpirit,2,0,Roman Imperium Cup IV,Results for January 17th 2026,Famalicão
Johnny Speeds,aimclub,2,0,PLAYR Masters Season 1,Results for January 16th 2026,Johnny Speeds
Bad Luck,Oruga,1,2,CCT Season 3 South America Series 7,Results for January 16th 2026,Oruga
HyperSpirit,BIG,1,2,Roman Imperium Cup IV,Results for January 16th 2026,BIG
Petardka,illwill,0,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 16th 2026,illwill
Fake do Biru,MIBR,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,MIBR
Johnny Speeds,AaB,13,6,PLAYR Masters Season 1,Results for January 16th 2026,Johnny Speeds
aimclub,INFINITE,13,7,PLAYR Masters Season 1,Results for January 16th 2026,aimclub
STATE,Prestige,5,13,PLAYR Masters Season 1,Results for January 16th 2026,Prestige
Famalicão,EXSAD,2,0,Roman Imperium Cup IV,Results for January 16th 2026,Famalicão
Sashi,SemperFi,13,3,PLAYR Masters Season 1,Results for January 16th 2026,Sashi
9INE,FURIA,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,FURIA
Johnny Speeds,STATE,11,13,PLAYR Masters Season 1,Results for January 16th 2026,STATE
INFINITE,Prestige,19,17,PLAYR Masters Season 1,Results for January 16th 2026,INFINITE
Tricked,Hemmaplan,13,4,PLAYR Masters Season 1,Results for January 16th 2026,Tricked
aimclub,AaB,6,13,PLAYR Masters Season 1,Results for January 16th 2026,AaB
Players,MAGICOS,2,1,CCT Season 3 South America Series 7,Results for January 16th 2026,Players
MINLATE,ARCRED,1,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 16th 2026,ARCRED
Sashi,Tricked,9,13,PLAYR Masters Season 1,Results for January 16th 2026,Tricked
BIG,EXSAD,13,3,Roman Imperium Cup IV,Results for January 16th 2026,BIG
HEROIC Academy,megoshort,13,10,PLAYR Masters Season 1,Results for January 16th 2026,HEROIC Academy
Famalicão,HyperSpirit,1,13,Roman Imperium Cup IV,Results for January 16th 2026,HyperSpirit
Johnny Speeds,aimclub,9,13,PLAYR Masters Season 1,Results for January 16th 2026,aimclub
Prestige,AaB,13,3,PLAYR Masters Season 1,Results for January 16th 2026,Prestige
BetBoom,paiN,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,paiN
HEROIC Academy,SemperFi,13,9,PLAYR Masters Season 1,Results for January 16th 2026,HEROIC Academy
Prestige,aimclub,16,13,PLAYR Masters Season 1,Results for January 16th 2026,Prestige
Rebels,SAW,2,0,Roman Imperium Cup IV,Results for January 16th 2026,Rebels
megoshort,Hemmaplan,13,6,PLAYR Masters Season 1,Results for January 16th 2026,megoshort
CSDIILIT,japczany,0,2,European Pro League Series 4 Closed Qualifier,Results for January 16th 2026,japczany
INFINITE,STATE,5,13,PLAYR Masters Season 1,Results for January 16th 2026,STATE
los kogutos,MASONIC,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 16th 2026,los kogutos
Crashers,Four Magic,0,2,CCT Season 3 South America Series 7,Results for January 16th 2026,Four Magic
megoshort,Tricked,7,13,PLAYR Masters Season 1,Results for January 16th 2026,Tricked
Sashi,HEROIC Academy,13,4,PLAYR Masters Season 1,Results for January 16th 2026,Sashi
SINNERS,Spirit,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,Spirit
Hemmaplan,SemperFi,2,13,PLAYR Masters Season 1,Results for January 16th 2026,SemperFi
Johnny Speeds,INFINITE,13,8,PLAYR Masters Season 1,Results for January 16th 2026,Johnny Speeds
AaB,STATE,13,9,PLAYR Masters Season 1,Results for January 16th 2026,AaB
MINLATE,SAW,2,1,Roman Imperium Cup IV,Results for January 16th 2026,MINLATE
Sashi,megoshort,13,10,PLAYR Masters Season 1,Results for January 16th 2026,Sashi
SemperFi,Tricked,13,4,PLAYR Masters Season 1,Results for January 16th 2026,SemperFi
FUT Academy,Chicken Burger,2,0,United21 League Season 43,Results for January 16th 2026,FUT Academy
Hemmaplan,HEROIC Academy,2,13,PLAYR Masters Season 1,Results for January 16th 2026,HEROIC Academy
Johnny Speeds,Prestige,22,19,PLAYR Masters Season 1,Results for January 16th 2026,Johnny Speeds
ENCE,PARIVISION,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,PARIVISION
DimoniX,Rebels,0,2,Roman Imperium Cup IV,Results for January 16th 2026,Rebels
STATE,aimclub,13,7,PLAYR Masters Season 1,Results for January 16th 2026,STATE
Tricked,HEROIC Academy,13,1,PLAYR Masters Season 1,Results for January 16th 2026,Tricked
SemperFi,megoshort,7,13,PLAYR Masters Season 1,Results for January 16th 2026,megoshort
AaB,INFINITE,13,5,PLAYR Masters Season 1,Results for January 16th 2026,AaB
Sashi,Hemmaplan,13,0,PLAYR Masters Season 1,Results for January 16th 2026,Sashi
Acend,Bebop,1,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 16th 2026,Bebop
Rebels,SAW,10,13,Roman Imperium Cup IV,Results for January 16th 2026,SAW
Universe,777,0,1,A1 Gaming League Season 11,Results for January 16th 2026,777
ex-CPH Wolves,CSDIILIT,0,1,A1 Gaming League Season 11,Results for January 16th 2026,CSDIILIT
MASONIC,Midnight,2,0,United21 League Season 43,Results for January 16th 2026,MASONIC
MINLATE,DimoniX,13,2,Roman Imperium Cup IV,Results for January 16th 2026,MINLATE
MANA,STATE,1,0,European Pro League Series 4 Closed Qualifier,Results for January 16th 2026,MANA
MIBR,Legacy,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,Legacy
Imperial,Sharks,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,Sharks
LA MASIA,Betclic,0,2,Roman Imperium Cup IV,Results for January 16th 2026,Betclic
internet kings,Charrados,0,2,CCT Season 3 South America Series 7,Results for January 16th 2026,Charrados
BASEMENT BOYS,Betclic,2,1,Roman Imperium Cup IV,Results for January 15th 2026,BASEMENT BOYS
ECSTATIC,Falcons,0,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Falcons
Gaimin Gladiators,GameHunters,2,0,BetBoom RUSH B Summit Season 1,Results for January 15th 2026,Gaimin Gladiators
LA MASIA,Ascend,2,0,Roman Imperium Cup IV,Results for January 15th 2026,LA MASIA
UNiTY,illwill,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,UNiTY
paiN Academy,HereWeGoAgain,2,0,CCT Season 3 South America Series 7,Results for January 15th 2026,paiN Academy
Bebop,STATE,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 15th 2026,Bebop
Betclic,Ascend,13,7,Roman Imperium Cup IV,Results for January 15th 2026,Betclic
Ninjas in Pyjamas,Liquid,1,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Liquid
BASEMENT BOYS,LA MASIA,13,11,Roman Imperium Cup IV,Results for January 15th 2026,BASEMENT BOYS
Fake do Biru,Keyd Stars,2,0,BetBoom RUSH B Summit Season 1,Results for January 15th 2026,Fake do Biru
Impulse GW,MANA,1,2,Roman Imperium Cup IV,Results for January 15th 2026,MANA
FORZE Reload,ARCRED,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,FORZE Reload
ELITES,Satriales,0,2,CCT Season 3 South America Series 7,Results for January 15th 2026,Satriales
AaB,Lilmix,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 15th 2026,AaB
Inner Circle,3DMAX,2,1,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Inner Circle
GameHunters,lospegadinhas,2,1,CCT Season 3 South America Series 7,Results for January 15th 2026,GameHunters
MOUZ NXT,Impulse GW,2,1,Roman Imperium Cup IV,Results for January 15th 2026,MOUZ NXT
Pigeons,BRUTE,0,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 15th 2026,BRUTE
GRINGOS,MANA,0,2,Roman Imperium Cup IV,Results for January 15th 2026,MANA
M80,Gentle Mates,0,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Gentle Mates
Petardka,BASEMENT BOYS,1,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,Petardka
Impulse GW,MANA,13,9,Roman Imperium Cup IV,Results for January 15th 2026,Impulse GW
MOUZ NXT,GRINGOS,13,1,Roman Imperium Cup IV,Results for January 15th 2026,MOUZ NXT
Bebop,ALGO,2,0,European Pro League Series 4 Closed Qualifier,Results for January 15th 2026,Bebop
los kogutos,hindsight,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 15th 2026,los kogutos
STATE,MINLATE,0,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,MINLATE
Legacy,GameHunters,2,0,BetBoom RUSH B Summit Season 1,Results for January 15th 2026,Legacy
Sharks,Keyd Stars,2,0,BetBoom RUSH B Summit Season 1,Results for January 15th 2026,Sharks
Players,internet kings,2,0,CCT Season 3 South America Series 7,Results for January 15th 2026,Players
MASONIC,HyperSpirit,1,0,European Pro League Series 4 Closed Qualifier,Results for January 14th 2026,MASONIC
Imperial,Fake do Biru,2,0,BetBoom RUSH B Summit Season 1,Results for January 14th 2026,Imperial
BASEMENT BOYS,illwill,1,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 14th 2026,illwill
Virtus.pro,Vitality,0,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,Vitality
Bad Luck,HereWeGoAgain,2,0,CCT Season 3 South America Series 7,Results for January 14th 2026,Bad Luck
Monte,Natus Vincere,2,1,BLAST Bounty 2026 Season 1,Results for January 14th 2026,Monte
MIBR,Gaimin Gladiators,2,0,BetBoom RUSH B Summit Season 1,Results for January 14th 2026,MIBR
Vasco,Charrados,2,0,CCT Season 3 South America Series 7,Results for January 14th 2026,Vasco
UNiTY,Petardka,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 14th 2026,UNiTY
STATE,los kogutos,2,1,European Pro League Series 4 Closed Qualifier,Results for January 14th 2026,STATE
Friendly Campers,HEROIC,0,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,HEROIC
GameHunters,Oruga,0,2,CCT Season 3 South America Series 7,Results for January 14th 2026,Oruga
CSDIILIT,MASONIC,0,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 14th 2026,MASONIC
ARCRED,MINLATE,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 14th 2026,ARCRED
Passion UA,GamerLegion,1,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,GamerLegion
FUT Academy,japczany,0,2,European Pro League Series 4 Closed Qualifier,Results for January 14th 2026,japczany
FORZE Reload,STATE,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 14th 2026,FORZE Reload
BASEMENT BOYS,777,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 14th 2026,BASEMENT BOYS
Four Magic,ELITES,2,0,CCT Season 3 South America Series 7,Results for January 14th 2026,Four Magic
HOTU,Aurora,1,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,Aurora
The Glecs,777,1,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 13th 2026,777
paiN Academy,MAGICOS,0,2,CCT Season 3 South America Series 7,Results for January 13th 2026,MAGICOS
Eternal Fire,MASONIC,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 13th 2026,Eternal Fire
fnatic,Astralis,1,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,Astralis
ARCRED,BASEMENT BOYS,2,1,NODWIN Clutch Series 4 Closed Qualifier,Results for January 13th 2026,ARCRED
Crashers,Satriales,2,0,CCT Season 3 South America Series 7,Results for January 13th 2026,Crashers
Ursa,Bebop,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 13th 2026,Ursa
EYEBALLERS,FaZe,2,1,BLAST Bounty 2026 Season 1,Results for January 13th 2026,EYEBALLERS
los kogutos,ALLINNERS,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 13th 2026,los kogutos
Prison Breakers,lospegadinhas,2,0,CCT Season 3 South America Series 7,Results for January 13th 2026,Prison Breakers
Bushido Wildcats,ALGO,0,2,European Pro League Series 4 Closed Qualifier,Results for January 13th 2026,ALGO
illwill,MASONIC,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 13th 2026,illwill
OG,FUT,0,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,FUT
Acend,Bushido Wildcats,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 13th 2026,Acend
Washington,HyperSpirit,1,2,European Pro League Series 4 Closed Qualifier,Results for January 13th 2026,HyperSpirit
BASEMENT BOYS,777,2,1,NODWIN Clutch Series 4 Closed Qualifier,Results for January 12th 2026,BASEMENT BOYS
ALLINNERS,MASONIC,0,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 12th 2026,MASONIC
Legion,Come Mid,3,0,Pixel Palace Community Cup 1,Results for January 12th 2026,Legion
Eternal Fire,los kogutos,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 12th 2026,Eternal Fire
CSDIILIT,MASONIC,0,2,NODWIN Clutch Series 4 Closed Qualifier,Results for January 12th 2026,MASONIC
Bushido Wildcats,Bebop,1,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 12th 2026,Bebop
Universe,CSDIILIT,0,1,NODWIN Clutch Series 4 Closed Qualifier,Results for January 12th 2026,CSDIILIT
ALGO,Lilmix,2,0,European Pro League Series 4 Closed Qualifier,Results for January 12th 2026,ALGO
ARCRED,The Glecs,2,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 12th 2026,ARCRED
Acend,Ursa,1,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 12th 2026,Ursa
MANA,Bushido Wildcats,2,1,European Pro League Series 4 Closed Qualifier,Results for January 12th 2026,MANA
illwill,Universe,1,0,NODWIN Clutch Series 4 Closed Qualifier,Results for January 12th 2026,illwill
M80,NRG,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 12th 2026,M80
