team1,team2,score1,score2,event,date,match_url,winner
LAG,Chicken Coop,2,0,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,https://www.hltv.org/matches/2390173/lag-vs-chicken-coop-dust2us-eagle-masters-series-6,LAG
Fisher College,Wildcard,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390140/fisher-college-vs-wildcard-iem-atlanta-2026-americas-closed-qualifier,Wildcard
Passion UA,SportsBetExpert,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390139/passion-ua-vs-sportsbetexpert-iem-atlanta-2026-americas-closed-qualifier,Passion UA
Aether,Zomblers,0,2,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,https://www.hltv.org/matches/2390175/aether-vs-zomblers-dust2us-eagle-masters-series-6,Zomblers
Marsborne,Rave,2,0,CCT Season 3 North America Series 3,Results for February 11th 2026,https://www.hltv.org/matches/2389764/marsborne-vs-rave-cct-season-3-north-america-series-3,Marsborne
Sakura,InControl,0,2,Dust2.us Eagle Masters Series 6,Results for February 11th 2026,https://www.hltv.org/matches/2390179/sakura-vs-incontrol-dust2us-eagle-masters-series-6,InControl
OG,Nemesis,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390118/og-vs-nemesis-iem-atlanta-2026-closed-qualifier,OG
Rave,Voca,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390138/rave-vs-voca-iem-atlanta-2026-americas-closed-qualifier,Voca
mouse,BOSS,0,2,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390137/mouse-vs-boss-iem-atlanta-2026-americas-closed-qualifier,BOSS
ShindeN,Vasco,0,2,CCT Season 3 South America Series 8,Results for February 11th 2026,https://www.hltv.org/matches/2389794/shinden-vs-vasco-cct-season-3-south-america-series-8,Vasco
Inner Circle,BET-M,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390117/inner-circle-vs-bet-m-iem-atlanta-2026-closed-qualifier,BET-M
Tricked,EYEBALLERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 11th 2026,https://www.hltv.org/matches/2390119/tricked-vs-eyeballers-iem-atlanta-2026-closed-qualifier,EYEBALLERS
Let Her Cook,hindsight,2,1,JB Pro League Female Season 1,Results for February 11th 2026,https://www.hltv.org/matches/2390091/let-her-cook-vs-hindsight-jb-pro-league-female-season-1,Let Her Cook
Wildcard,Voca,2,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390136/wildcard-vs-voca-iem-atlanta-2026-americas-closed-qualifier,Wildcard
fnatic,K27,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390116/fnatic-vs-k27-iem-atlanta-2026-closed-qualifier,fnatic
Fake do Biru,Bad Luck,2,1,CCT Season 3 South America Series 8,Results for February 10th 2026,https://www.hltv.org/matches/2389793/fake-do-biru-vs-bad-luck-cct-season-3-south-america-series-8,Fake do Biru
SportsBetExpert,BOSS,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390134/sportsbetexpert-vs-boss-iem-atlanta-2026-americas-closed-qualifier,SportsBetExpert
BASEMENT BOYS,CYBERSHOKE,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390114/basement-boys-vs-cybershoke-iem-atlanta-2026-closed-qualifier,CYBERSHOKE
Alliance,SINNERS,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390113/alliance-vs-sinners-iem-atlanta-2026-closed-qualifier,SINNERS
Passion UA,mouse,2,0,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390133/passion-ua-vs-mouse-iem-atlanta-2026-americas-closed-qualifier,Passion UA
GenOne,WHITEBIRD,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,https://www.hltv.org/matches/2389848/genone-vs-whitebird-cct-season-3-europe-series-15,WHITEBIRD
BRUTE,home,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390010/brute-vs-home-cct-season-3-europe-series-16-closed-qualifier,BRUTE
BIG EQUIPA,confidence,2,0,JB Pro League Female Season 1,Results for February 10th 2026,https://www.hltv.org/matches/2390090/big-equipa-vs-confidence-jb-pro-league-female-season-1,BIG EQUIPA
Johnny Speeds,Nuclear TigeRES,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390115/johnny-speeds-vs-nuclear-tigeres-iem-atlanta-2026-closed-qualifier,Johnny Speeds
Rave,Fisher College,0,1,IEM Atlanta 2026 Americas Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390135/rave-vs-fisher-college-iem-atlanta-2026-americas-closed-qualifier,Fisher College
ex-KRÜ,FOLHA AMARELA,1,2,CCT Season 3 South America Series 8,Results for February 10th 2026,https://www.hltv.org/matches/2389792/ex-kr-vs-folha-amarela-cct-season-3-south-america-series-8,FOLHA AMARELA
Inner Circle,Tricked,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390110/inner-circle-vs-tricked-iem-atlanta-2026-closed-qualifier,Inner Circle
BET-M,EYEBALLERS,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390111/bet-m-vs-eyeballers-iem-atlanta-2026-closed-qualifier,BET-M
BetBoom,ENCE,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390112/betboom-vs-ence-iem-atlanta-2026-closed-qualifier,BetBoom
Enjoy,QWENTRY,0,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390009/enjoy-vs-qwentry-cct-season-3-europe-series-16-closed-qualifier,QWENTRY
Leo,ALGO,2,0,CCT Season 3 Europe Series 15,Results for February 10th 2026,https://www.hltv.org/matches/2389847/leo-vs-algo-cct-season-3-europe-series-15,Leo
Nemesis,K27,0,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390109/nemesis-vs-k27-iem-atlanta-2026-closed-qualifier,K27
